"cidade_orig";"Abatiá_Paraná";"Adrianópolis_Paraná";"Agudos do Sul_Paraná";"Almirante Tamandaré_Paraná";"Altamira do Paraná_Paraná";"Alto Paraíso_Paraná";"Alto Paraná_Paraná";"Alto Piquiri_Paraná";"Altônia_Paraná";"Alvorada do Sul_Paraná";"Amaporã_Paraná";"Ampére_Paraná";"Anahy_Paraná";"Andirá_Paraná";"Ângulo_Paraná";"Antonina_Paraná";"Antônio Olinto_Paraná";"Apucarana_Paraná";"Arapongas_Paraná";"Arapoti_Paraná";"Arapuã_Paraná";"Araruna_Paraná";"Araucária_Paraná";"Ariranha do Ivaí_Paraná";"Assaí_Paraná";"Assis Chateaubriand_Paraná";"Astorga_Paraná";"Atalaia_Paraná";"Balsa Nova_Paraná";"Bandeirantes_Paraná";"Barbosa Ferraz_Paraná";"Barra do Jacaré_Paraná";"Barracão_Paraná";"Bela Vista da Caroba_Paraná";"Bela Vista do Paraíso_Paraná";"Bituruna_Paraná";"Boa Esperança do Iguaçu_Paraná";"Boa Esperança_Paraná";"Boa Ventura de São Roque_Paraná";"Boa Vista da Aparecida_Paraná";"Bocaiúva do Sul_Paraná";"Bom Jesus do Sul_Paraná";"Bom Sucesso do Sul_Paraná";"Bom Sucesso_Paraná";"Borrazópolis_Paraná";"Braganey_Paraná";"Brasilândia do Sul_Paraná";"Cafeara_Paraná";"Cafelândia_Paraná";"Cafezal do Sul_Paraná";"Califórnia_Paraná";"Cambará_Paraná";"Cambé_Paraná";"Cambira_Paraná";"Campina da Lagoa_Paraná";"Campina do Simão_Paraná";"Campina Grande do Sul_Paraná";"Campo Bonito_Paraná";"Campo do Tenente_Paraná";"Campo Largo_Paraná";"Campo Magro_Paraná";"Campo Mourão_Paraná";"Cândido de Abreu_Paraná";"Candói_Paraná";"Cantagalo_Paraná";"Capanema_Paraná";"Capitão Leônidas Marques_Paraná";"Carambeí_Paraná";"Carlópolis_Paraná";"Cascavel_Paraná";"Castro_Paraná";"Catanduvas_Paraná";"Centenário do Sul_Paraná";"Cerro Azul_Paraná";"Céu Azul_Paraná";"Chopinzinho_Paraná";"Cianorte_Paraná";"Cidade Gaúcha_Paraná";"Clevelândia_Paraná";"Colombo_Paraná";"Colorado_Paraná";"Congonhinhas_Paraná";"Conselheiro Mairinck_Paraná";"Contenda_Paraná";"Corbélia_Paraná";"Cornélio Procópio_Paraná";"Coronel Domingos Soares_Paraná";"Coronel Vivida_Paraná";"Corumbataí do Sul_Paraná";"Cruz Machado_Paraná";"Cruzeiro do Iguaçu_Paraná";"Cruzeiro do Oeste_Paraná";"Cruzeiro do Sul_Paraná";"Cruzmaltina_Paraná";"Curitiba_Paraná";"Curiúva_Paraná";"Diamante D'Oeste_Paraná";"Diamante do Norte_Paraná";"Diamante do Sul_Paraná";"Dois Vizinhos_Paraná";"Douradina_Paraná";"Doutor Camargo_Paraná";"Doutor Ulysses_Paraná";"Enéas Marques_Paraná";"Engenheiro Beltrão_Paraná";"Entre Rios do Oeste_Paraná";"Esperança Nova_Paraná";"Espigão Alto do Iguaçu_Paraná";"Farol_Paraná";"Faxinal_Paraná";"Fazenda Rio Grande_Paraná";"Fênix_Paraná";"Fernandes Pinheiro_Paraná";"Figueira_Paraná";"Flor da Serra do Sul_Paraná";"Floraí_Paraná";"Floresta_Paraná";"Florestópolis_Paraná";"Flórida_Paraná";"Formosa do Oeste_Paraná";"Foz do Iguaçu_Paraná";"Foz do Jordão_Paraná";"Francisco Alves_Paraná";"Francisco Beltrão_Paraná";"General Carneiro_Paraná";"Godoy Moreira_Paraná";"Goioerê_Paraná";"Goioxim_Paraná";"Grandes Rios_Paraná";"Guaíra_Paraná";"Guairaçá_Paraná";"Guamiranga_Paraná";"Guapirama_Paraná";"Guaporema_Paraná";"Guaraci_Paraná";"Guaraniaçu_Paraná";"Guarapuava_Paraná";"Guaraqueçaba_Paraná";"Guaratuba_Paraná";"Honório Serpa_Paraná";"Ibaiti_Paraná";"Ibema_Paraná";"Ibiporã_Paraná";"Icaraíma_Paraná";"Iguaraçu_Paraná";"Iguatu_Paraná";"Imbaú_Paraná";"Imbituva_Paraná";"Inácio Martins_Paraná";"Inajá_Paraná";"Indianópolis_Paraná";"Ipiranga_Paraná";"Iporã_Paraná";"Iracema do Oeste_Paraná";"Irati_Paraná";"Iretama_Paraná";"Itaguajé_Paraná";"Itaipulândia_Paraná";"Itambaracá_Paraná";"Itambé_Paraná";"Itapejara d'Oeste_Paraná";"Itaperuçu_Paraná";"Itaúna do Sul_Paraná";"Ivaí_Paraná";"Ivaiporã_Paraná";"Ivaté_Paraná";"Ivatuba_Paraná";"Jaboti_Paraná";"Jacarezinho_Paraná";"Jaguapitã_Paraná";"Jaguariaíva_Paraná";"Jandaia do Sul_Paraná";"Janiópolis_Paraná";"Japira_Paraná";"Japurá_Paraná";"Jardim Alegre_Paraná";"Jardim Olinda_Paraná";"Jataizinho_Paraná";"Jesuítas_Paraná";"Joaquim Távora_Paraná";"Jundiaí do Sul_Paraná";"Juranda_Paraná";"Jussara_Paraná";"Kaloré_Paraná";"Lapa_Paraná";"Laranjal_Paraná";"Laranjeiras do Sul_Paraná";"Leópolis_Paraná";"Lidianópolis_Paraná";"Lindoeste_Paraná";"Loanda_Paraná";"Lobato_Paraná";"Londrina_Paraná";"Luiziana_Paraná";"Lunardelli_Paraná";"Lupionópolis_Paraná";"Mallet_Paraná";"Mamborê_Paraná";"Mandaguaçu_Paraná";"Mandaguari_Paraná";"Mandirituba_Paraná";"Manfrinópolis_Paraná";"Mangueirinha_Paraná";"Manoel Ribas_Paraná";"Marechal Cândido Rondon_Paraná";"Maria Helena_Paraná";"Marialva_Paraná";"Marilândia do Sul_Paraná";"Marilena_Paraná";"Mariluz_Paraná";"Maringá_Paraná";"Mariópolis_Paraná";"Maripá_Paraná";"Marmeleiro_Paraná";"Marquinho_Paraná";"Marumbi_Paraná";"Matelândia_Paraná";"Matinhos_Paraná";"Mato Rico_Paraná";"Mauá da Serra_Paraná";"Medianeira_Paraná";"Mercedes_Paraná";"Mirador_Paraná";"Miraselva_Paraná";"Missal_Paraná";"Moreira Sales_Paraná";"Morretes_Paraná";"Munhoz de Melo_Paraná";"Nossa Senhora das Graças_Paraná";"Nova Aliança do Ivaí_Paraná";"Nova América da Colina_Paraná";"Nova Aurora_Paraná";"Nova Cantu_Paraná";"Nova Esperança do Sudoeste_Paraná";"Nova Esperança_Paraná";"Nova Fátima_Paraná";"Nova Laranjeiras_Paraná";"Nova Londrina_Paraná";"Nova Olímpia_Paraná";"Nova Prata do Iguaçu_Paraná";"Nova Santa Bárbara_Paraná";"Nova Santa Rosa_Paraná";"Nova Tebas_Paraná";"Novo Itacolomi_Paraná";"Ortigueira_Paraná";"Ourizona_Paraná";"Ouro Verde do Oeste_Paraná";"Paiçandu_Paraná";"Palmas_Paraná";"Palmeira_Paraná";"Palmital_Paraná";"Palotina_Paraná";"Paraíso do Norte_Paraná";"Paranacity_Paraná";"Paranaguá_Paraná";"Paranapoema_Paraná";"Paranavaí_Paraná";"Pato Bragado_Paraná";"Pato Branco_Paraná";"Paula Freitas_Paraná";"Paulo Frontin_Paraná";"Peabiru_Paraná";"Perobal_Paraná";"Pérola d'Oeste_Paraná";"Pérola_Paraná";"Piên_Paraná";"Pinhais_Paraná";"Pinhal de São Bento_Paraná";"Pinhalão_Paraná";"Pinhão_Paraná";"Piraí do Sul_Paraná";"Piraquara_Paraná";"Pitanga_Paraná";"Pitangueiras_Paraná";"Planaltina do Paraná_Paraná";"Planalto_Paraná";"Ponta Grossa_Paraná";"Pontal do Paraná_Paraná";"Porecatu_Paraná";"Porto Amazonas_Paraná";"Porto Barreiro_Paraná";"Porto Rico_Paraná";"Porto Vitória_Paraná";"Prado Ferreira_Paraná";"Pranchita_Paraná";"Presidente Castelo Branco_Paraná";"Primeiro de Maio_Paraná";"Prudentópolis_Paraná";"Quarto Centenário_Paraná";"Quatiguá_Paraná";"Quatro Barras_Paraná";"Quatro Pontes_Paraná";"Quedas do Iguaçu_Paraná";"Querência do Norte_Paraná";"Quinta do Sol_Paraná";"Quitandinha_Paraná";"Ramilândia_Paraná";"Rancho Alegre D'Oeste_Paraná";"Rancho Alegre_Paraná";"Realeza_Paraná";"Rebouças_Paraná";"Renascença_Paraná";"Reserva do Iguaçu_Paraná";"Reserva_Paraná";"Ribeirão Claro_Paraná";"Ribeirão do Pinhal_Paraná";"Rio Azul_Paraná";"Rio Bom_Paraná";"Rio Bonito do Iguaçu_Paraná";"Rio Branco do Ivaí_Paraná";"Rio Branco do Sul_Paraná";"Rio Negro_Paraná";"Rolândia_Paraná";"Roncador_Paraná";"Rondon_Paraná";"Rosário do Ivaí_Paraná";"Sabáudia_Paraná";"Salgado Filho_Paraná";"Salto do Itararé_Paraná";"Salto do Lontra_Paraná";"Santa Amélia_Paraná";"Santa Cecília do Pavão_Paraná";"Santa Cruz de Monte Castelo_Paraná";"Santa Fé_Paraná";"Santa Helena_Paraná";"Santa Inês_Paraná";"Santa Isabel do Ivaí_Paraná";"Santa Izabel do Oeste_Paraná";"Santa Lúcia_Paraná";"Santa Maria do Oeste_Paraná";"Santa Mariana_Paraná";"Santa Mônica_Paraná";"Santa Tereza do Oeste_Paraná";"Santa Terezinha de Itaipu_Paraná";"Santana do Itararé_Paraná";"Santo Antônio da Platina_Paraná";"Santo Antônio do Caiuá_Paraná";"Santo Antônio do Paraíso_Paraná";"Santo Antônio do Sudoeste_Paraná";"Santo Inácio_Paraná";"São Carlos do Ivaí_Paraná";"São Jerônimo da Serra_Paraná";"São João do Caiuá_Paraná";"São João do Ivaí_Paraná";"São João do Triunfo_Paraná";"São João_Paraná";"São Jorge d'Oeste_Paraná";"São Jorge do Ivaí_Paraná";"São Jorge do Patrocínio_Paraná";"São José da Boa Vista_Paraná";"São José das Palmeiras_Paraná";"São José dos Pinhais_Paraná";"São Manoel do Paraná_Paraná";"São Mateus do Sul_Paraná";"São Miguel do Iguaçu_Paraná";"São Pedro do Iguaçu_Paraná";"São Pedro do Ivaí_Paraná";"São Pedro do Paraná_Paraná";"São Sebastião da Amoreira_Paraná";"São Tomé_Paraná";"Sapopema_Paraná";"Sarandi_Paraná";"Saudade do Iguaçu_Paraná";"Sengés_Paraná";"Serranópolis do Iguaçu_Paraná";"Sertaneja_Paraná";"Sertanópolis_Paraná";"Siqueira Campos_Paraná";"Sulina_Paraná";"Tamarana_Paraná";"Tamboara_Paraná";"Tapejara_Paraná";"Tapira_Paraná";"Teixeira Soares_Paraná";"Telêmaco Borba_Paraná";"Terra Boa_Paraná";"Terra Rica_Paraná";"Terra Roxa_Paraná";"Tibagi_Paraná";"Tijucas do Sul_Paraná";"Toledo_Paraná";"Tomazina_Paraná";"Três Barras do Paraná_Paraná";"Tunas do Paraná_Paraná";"Tuneiras do Oeste_Paraná";"Tupãssi_Paraná";"Turvo_Paraná";"Ubiratã_Paraná";"Umuarama_Paraná";"União da Vitória_Paraná";"Uniflor_Paraná";"Uraí_Paraná";"Ventania_Paraná";"Vera Cruz do Oeste_Paraná";"Verê_Paraná";"Virmond_Paraná";"Vitorino_Paraná";"Wenceslau Braz_Paraná";"Xambrê_Paraná"
"Abatiá_Paraná";Inf;24694;22930;21305;22206;23186;14151;21943;24005;8646;17326;32182;21775;2015;11557;24804;22913;9862;8446;8551;15102;16075;19564;15806;5073;23286;9935;12618;19076;1178;14506;2707;35435;32889;7343;27338;31050;18842;19870;26746;23959;35826;30304;11462;12582;23496;22754;11964;22494;21296;10972;3106;7224;10360;20294;22261;22565;26181;21622;18590;19438;15889;18478;23018;23807;31226;28725;12964;5836;24171;12168;25876;10893;22313;26131;27080;15948;18178;31884;21737;13469;2871;3484;20675;22400;2858;30669;27455;15397;26448;32079;18352;14616;11670;21351;7818;27766;18810;28485;30904;20432;13609;17134;32353;14200;29373;23657;27823;17197;11175;20929;14129;17682;6108;33498;13938;12809;9008;12503;21724;30411;24814;23305;31093;25898;15761;19493;23800;12982;25195;16097;16258;3052;17529;10882;26624;20662;34702;26359;28376;4603;25763;5468;22671;10916;23317;11922;15500;20686;15475;17394;14866;22470;22275;18779;19680;13618;29644;2283;12809;29231;22526;18797;17037;14444;21068;13558;4806;3688;9778;9754;10596;18084;4531;17776;13843;14825;4917;22422;3733;1889;18979;14866;12163;19617;22992;25154;4058;13117;25916;18256;13046;6529;17291;14043;11616;20714;17931;12475;10212;21507;32943;27276;16151;27435;20654;10588;11600;18229;19974;11548;30883;25851;31524;23138;11446;27076;25338;22574;10365;27923;27060;16720;9848;29338;19251;23674;11218;12258;16352;4299;21487;21869;31996;13313;2155;25861;17911;19369;29715;4948;26420;18022;11191;13531;13279;26565;12411;30851;17056;21141;24821;15910;14574;24601;14674;15124;28844;29371;23081;21456;14847;20779;32336;22374;24080;21762;33534;5514;23158;10571;21693;17509;9774;18285;31999;14256;25115;9828;18379;26465;19173;25035;9676;33833;13073;7297;17189;20271;4163;22273;26991;28450;20827;14768;23043;27537;20097;5340;31057;18699;31432;25265;14506;5083;978;19407;12180;26562;14766;22625;22765;7852;20321;16904;14761;9284;33804;6428;30876;923;4637;19467;12147;29370;13030;19910;31637;27500;19229;2035;19840;24878;29143;8487;2177;16782;2929;34349;12218;14955;5614;15923;13702;19704;28396;29879;13958;24340;7967;27936;21181;17047;21199;28268;26887;12625;19413;3810;16923;7251;11105;27348;11054;28554;4555;6448;5051;28752;9244;15187;17195;18646;17400;10373;15315;17446;24838;9940;22774;25816;5916;27888;24681;17657;23956;19732;20146;19917;23778;14048;4149;7755;26416;30281;24144;30106;6610;20993
"Adrianópolis_Paraná";24694;Inf;16891;12900;36759;42610;38261;41367;43429;31544;41436;38536;38799;24828;35690;16364;20761;33118;32579;19269;32413;35837;14669;32327;28381;40247;34069;36752;15887;25658;35475;24650;40033;40927;30342;29488;37585;37448;28066;36176;10601;40728;34903;34890;32618;37254;41346;33572;38717;40719;31794;24020;31358;33530;37253;28569;12330;34122;17935;14849;14204;34603;29941;27616;28405;40655;38155;19717;20551;36933;20711;35165;32501;11073;38893;31678;38424;40823;34303;12144;34996;25927;23311;15835;37399;27057;34371;32053;34650;28054;37123;37776;36143;31706;13568;24930;40528;39074;33530;35502;41455;37743;11974;36951;36079;42173;43081;32868;35803;31211;14890;35536;20114;24397;38096;38072;36943;31721;36256;40330;43173;29412;42455;35691;27503;35934;38099;28398;33018;42884;40207;22929;21766;41108;33722;33293;25260;26261;19678;32974;22891;33915;29602;42945;35050;37849;25581;21379;23651;36778;39960;22656;41894;39870;21711;33169;34983;42406;25892;36237;33829;13487;39510;23706;32520;41894;37691;22196;23389;33911;18080;33765;36690;22353;40090;32670;36007;29051;40427;20971;23537;37224;38559;33704;17648;33249;30199;28192;33038;38678;42366;36286;30663;33808;33416;33224;23678;36176;36609;34346;15469;37541;31874;30779;40127;40057;34722;31519;41067;39411;35682;35345;39859;36122;31485;34513;39838;17877;34298;30354;40685;40897;40830;32735;42100;38290;16186;35352;34716;40462;28393;39081;35685;37745;37447;25463;30906;40469;39637;38254;28066;40478;31314;33708;27363;37413;39367;36545;32456;17151;31398;40900;40020;36101;17140;35856;39235;41536;33969;24686;23921;35326;40203;40375;41797;18041;13129;39061;22018;27756;20309;13410;29124;33907;42395;40253;18725;17654;30985;16990;31510;42692;26640;32853;41128;37207;30296;22510;38877;20822;12534;39683;33495;44937;36175;16790;40299;38703;29072;38879;21664;36030;29863;25969;21420;24048;22372;32856;31606;33085;12685;18751;31986;33836;40463;34054;33418;38402;18222;37190;25403;27944;43577;35038;42131;34395;43528;38228;38332;29486;26515;42298;37640;41904;17940;22739;38309;26237;40917;33575;39089;27379;37451;34229;19497;32994;34477;38092;43764;18799;40737;14057;40681;20992;41029;39688;35184;43029;27118;39489;25938;35239;32392;15602;41315;28689;29448;19848;33624;31530;39298;37771;40827;20114;27118;37064;39763;42899;24179;16092;38538;20951;35132;7588;36678;38594;26673;38391;39341;25383;36750;28283;22686;39177;34879;28742;34704;19886;40417
"Agudos do Sul_Paraná";22930;16891;Inf;4835;26755;32605;28602;31362;33424;27356;31777;28074;28795;23820;27442;7633;8205;23114;24241;15631;22408;25833;3567;22322;22113;30243;26435;28504;5735;23653;25471;23163;28445;30710;25887;15512;27581;27443;18061;26171;7216;29140;24477;24886;22614;27249;31342;29865;28712;30715;21790;23411;24562;23525;27249;18565;5394;24117;2936;4845;4665;24599;19936;17611;18400;30651;28150;9713;22433;26928;10707;25160;29035;10193;28888;21673;28420;30819;20327;5266;29993;20743;19573;4540;27394;22786;20395;22048;24646;14283;27119;27771;29135;21701;4613;17322;30523;33501;23525;25498;31450;28061;15572;26946;26075;32168;33076;22863;25798;21206;2237;25532;10110;18465;26508;28389;27486;27552;28388;30325;33168;19408;32451;25531;13527;25930;28094;18393;23013;32879;30548;12925;20411;31103;28220;23288;15255;17531;6654;22154;18164;23911;23617;32941;27182;27844;15576;11374;13646;30453;29955;12651;31889;29865;11706;23165;31186;32401;24758;26233;23825;6468;33248;13701;22515;31890;28362;19359;22764;27115;14547;23760;26686;18558;30086;22666;32375;23065;30423;20331;21082;27219;28554;23699;5175;23244;20194;23921;23033;28673;32707;28980;24255;23804;23412;29517;13157;26171;26926;24501;1552;27080;21937;20774;30122;30053;25039;21514;32680;29407;25999;21369;29854;24765;21480;24508;29834;8167;24294;20349;30681;30893;31172;27668;32095;28286;6503;27718;28795;30803;22278;29077;25680;27741;27765;21310;20901;32362;29632;28250;20458;30473;21310;23703;17359;27731;29362;26863;18480;7147;21393;30895;30362;29367;7429;31313;29576;31532;22791;12333;11568;25321;30198;30157;31793;1275;4538;28599;19398;17752;12510;4521;19120;26273;32737;30036;8720;7943;28372;6544;21505;33624;12627;27014;30390;27524;26153;12505;28872;19909;5049;29679;23490;35534;26171;1790;30294;28698;24721;28785;11659;24355;19859;15964;23553;21593;12367;22851;21602;23081;6154;3751;25190;23832;30458;24050;25784;27496;20287;27185;23399;20949;34174;28231;32127;30931;33523;28224;28327;19481;23412;32293;27636;31900;19098;21253;31118;21432;29819;30119;29407;19771;30322;24224;9493;22989;24473;28409;33759;18577;30733;4010;30676;8670;31025;29684;25179;33865;21325;29484;18330;25557;22388;16485;31311;24419;24939;18700;23619;21525;29633;27766;30823;10109;17114;27059;31897;32894;14174;1293;28533;18331;25127;9101;26673;28589;16668;28386;29336;11202;28500;23531;15078;29173;24875;18737;23028;17518;30412
"Almirante Tamandaré_Paraná";21305;12900;4835;Inf;24321;30172;26168;28928;30991;24922;29343;26097;26361;21386;25008;6549;8546;20680;21807;13197;19974;23399;2455;19888;19679;27809;24001;26070;3448;21219;23037;20730;27594;28489;23453;17049;25147;25010;15627;23737;3180;28290;22464;22452;20180;24815;28908;27431;26279;28281;19356;20977;22128;21091;24815;16131;2965;21683;5875;2411;1765;22165;17502;15177;15966;28217;25716;7279;19999;24494;8273;22726;26602;5426;26455;19240;25986;28385;21865;841;27559;18309;17139;3620;24960;20352;21933;19614;22212;15615;24685;25338;26701;19267;1835;14888;28089;31067;21091;23064;29017;25627;10805;24512;23641;29735;30642;20429;23365;18773;2831;23098;7676;16031;25658;25955;25052;25118;25954;27892;30735;16974;30017;23253;15064;23496;25661;15959;20579;30445;28114;10491;17978;28669;25786;20854;12821;16447;8242;20535;15730;21477;21183;30507;24748;25410;13142;8940;11212;28019;27521;10217;29455;27431;9273;20731;28753;29967;22324;23799;21391;1701;30814;11267;20081;29456;25928;16925;20330;24681;12113;21326;24252;16124;27652;20232;29941;20632;27989;17897;18648;24785;26120;21265;5434;20810;17760;21488;20599;26240;30273;26546;21821;21370;20978;27083;11240;23737;24492;22067;3409;25103;19435;18340;27688;27619;22606;19080;30246;26973;23565;22906;27420;23684;19046;22074;27400;7121;21860;17915;28247;28459;28738;25234;29661;25852;5457;25284;26361;28370;19844;26643;23246;25307;25331;18876;18467;29928;27199;25816;18024;28039;18876;21270;14925;25297;26928;24429;20017;4713;18959;28461;27928;26933;6383;28879;27142;29098;21530;12248;11483;22888;27765;27936;29359;5982;2562;26622;16964;15318;10076;3575;16686;23840;30303;27815;6286;6897;25938;4551;19071;31190;14202;24580;28689;25091;23719;10071;26438;17475;2719;27245;21056;33100;23737;4730;27860;26264;22288;26440;9225;23592;17425;13530;21119;19159;9933;20417;19168;20647;1388;6691;22756;21398;28024;21616;23350;25963;17853;24752;20965;18515;31740;25798;29693;28497;31089;25790;25894;17048;20978;29859;25202;29466;16664;18819;28684;18998;28479;27685;26973;17337;27888;21791;7059;20555;22039;25975;31326;16143;28299;3063;28242;8554;28591;27250;22745;31431;18891;27050;15896;23123;19954;14052;28877;21985;22505;16266;21185;19091;27205;25333;28389;7675;14680;24625;29463;30460;11740;4656;26099;15897;22694;5232;24239;26155;14234;25952;26902;12945;26066;21097;12644;26739;22441;16304;22265;15084;27978
"Altamira do Paraná_Paraná";22206;36759;26755;24321;Inf;12225;12960;9814;12479;18738;15570;15697;5290;21567;12760;29314;23693;14089;14260;25222;11550;7615;24073;11464;18144;7042;13715;12720;23585;21446;9317;22260;19437;16404;17047;18824;14565;4581;10358;10261;28469;19341;15058;11397;13951;7011;8553;15370;6009;9769;14575;22658;15209;13065;1829;10808;27074;8573;24737;23100;23948;6381;11945;11104;9915;14741;12240;21631;27111;7686;22625;9391;16172;31173;9646;12466;10202;11447;18776;26246;14692;21089;24500;24545;5915;19406;18407;13681;8492;22500;15873;8196;13493;13762;25861;22452;11281;17985;11422;15147;12079;10680;33668;16153;8024;12887;12131;11617;6337;14606;25438;9794;17868;23875;18251;12889;9435;16701;13706;7180;13926;12928;11145;15846;21555;12769;5670;11477;15508;13249;14905;16506;24068;12948;14755;9048;12444;39212;30869;15218;24087;8929;16703;12976;12500;6832;18132;17945;15112;14810;11800;19738;10944;5790;17454;8305;15829;13159;21847;9994;13984;27036;17294;18795;11657;11925;10312;25282;23622;14768;26627;12694;5399;24480;11931;11808;16540;17048;6348;25009;22905;3516;10504;13126;22732;3733;8948;19329;12175;9431;14579;14299;15887;7617;11498;15896;20465;4980;11283;12251;26017;17556;15398;9916;10840;10337;11857;15203;16726;7526;10946;17526;9607;16277;6932;12409;10592;29848;7147;15621;11439;11611;14136;16261;12853;7221;28184;13093;14113;14209;19434;5002;2868;15511;12122;20695;9655;16408;10261;13230;19800;10522;8208;14315;18639;11867;10080;10636;18724;20388;5603;9557;13326;13724;29110;15671;13933;12250;16014;22832;21207;7271;9253;15851;10847;28279;26271;17049;25463;14450;24855;26202;9383;14481;14956;15514;21048;29624;17522;21494;10259;15513;23689;15606;17348;11882;18356;15676;6087;25438;26782;10397;12244;16163;8697;26158;11052;4715;18795;14572;18845;16774;13894;15551;25315;21910;19384;15532;10356;14625;27134;25880;14608;4937;12303;16610;14480;18417;27704;14391;22150;19489;14803;13550;12885;16063;14152;15152;11016;7775;20002;12922;8394;12658;28969;23753;15475;20082;17864;15251;13906;20466;14680;10709;21899;12639;14122;11341;12814;28449;11451;25691;12521;22078;11783;10402;10800;15440;19217;11329;22103;11275;11142;28657;12069;18822;17195;26327;12546;16760;14163;9208;11451;18382;19949;9009;16254;11688;20539;27283;9290;25856;11403;30521;8417;7471;10220;3661;9196;23138;12857;18762;22474;9931;15034;9311;16749;27389;10031
"Alto Paraíso_Paraná";23186;42610;32605;30172;12225;Inf;10085;4621;4513;18375;9147;18591;10078;23073;12451;35281;29660;15701;15766;29218;15546;8327;30040;15460;19650;6611;14286;11523;29552;22951;11628;23766;22330;19298;18709;25150;17904;8542;16325;13600;34436;22235;22520;13392;16028;11799;5431;15093;9769;3420;16187;24164;16714;14677;10456;18716;33042;13367;30704;29067;29915;8394;15941;19384;18195;17634;15043;26206;28617;10525;27200;12730;15636;37140;12143;20395;8078;6162;26516;32214;13159;22595;26006;30512;10703;20912;26336;21609;10803;28743;18994;4982;11959;15839;31828;24729;12636;11562;15853;19756;3370;10251;37664;19492;10019;11450;3418;16486;8536;16683;31405;11789;23835;25571;22188;10007;11430;17272;12381;8346;16423;21208;5429;21232;27880;14763;6869;20872;17585;7319;10786;22473;25574;7647;14949;13478;18411;45179;36836;23147;25593;12617;18209;1243;13071;11620;22128;23912;21079;12326;7515;25842;4594;7864;23421;12320;14161;15514;23353;11989;21348;33003;10871;23779;15012;2714;10645;26787;25128;15339;30623;14306;7784;25986;8992;14411;14056;18554;7480;26514;24411;9346;8772;15120;28699;16049;16876;20835;14252;11842;8157;13093;17393;9928;13492;15057;26432;10181;11598;13757;31984;20450;23326;13911;9852;5090;13362;16815;10303;5482;12287;25265;8042;21774;18539;14403;13088;35815;15214;17698;13935;9184;8835;16586;14996;6421;34151;13664;14045;8908;20940;8745;12032;18850;10852;22200;15811;9985;5120;16569;21306;8544;12204;15927;20717;11131;10046;11402;26653;26355;17596;6945;8025;12191;35077;13187;9772;10921;23729;28799;27174;9265;4025;18745;2499;34246;32238;19943;26969;20970;28851;32169;14074;15052;8533;18408;25622;35591;17130;27461;18187;9090;30014;16177;20242;10911;19773;21643;7202;26944;32749;9723;16006;7133;10691;32125;13294;7967;20301;17466;24812;22282;22174;19546;26821;23416;25351;17144;18284;18620;33102;31847;16114;12961;7011;19364;15051;21310;29210;17730;23656;20995;8380;13744;12925;14628;7729;18046;13426;15684;21508;6499;10845;15154;30486;25259;11761;21588;20758;14412;9097;21972;10965;12704;27866;20133;18388;10606;4102;29966;11417;31658;8328;28045;14280;10439;12794;9017;20723;8391;23609;12781;19070;32652;14566;20327;18701;27833;20422;18837;8862;6340;5057;24349;23945;9027;12135;6962;24535;33250;8708;27362;14743;36488;5923;7965;16187;10309;3619;29463;11323;20268;26469;11280;20390;17592;23851;28666;2234
